Code,Symbol,Name
14010688,IIFLWAM,
13520894,SWSOLAR,
11330106,MBAPL,
14010232,VIKASPROP,
11050070,HNDFDS,
14011027,SPANDANA,
17153069,JIYAECO,
14090349,DOLAT,
16020182,VISHAL,
14060363,JUMPNET,
,ZOTA,
15050094,BCP,
14090428,WESTLIFE,
11580078,SIRCA,
11623428,SUMIT,
16070225,LIBAS,
16070225,LIBAS,
15520011,GFSTEELS,
13030067,CREATIVE,
14094934,AFFLE,
16530330,SHRENIK,
16530166,SATIA,
16030295,DCMNVL,
12070134,SANGINITA,
12070026,SEYAIND,
13192341,INFOBEAN,
12070003,OAL,
13191988,INDIAMART,
14010481,STEELCITY,
17041012,DGCONTENT,
15580176,PPL,
14560025,CONFIPET,
16530114,EMAMIPAP,
13240166,ONEPOINT,
12060124,NEOGEN,
17028812,VIKASMCORP,
14094804,AIRAN,
17154051,KPITTECH,
15120087,SOUTHWEST,
15050067,POLYCAB,
16550066,METROPOLIS,
16590067,MAHESHWARI,
17090024,CKFSL,
16550326,SAKAR,
16610125,MSTCLTD,
11600132,RVNL,
16070063,ARVINDFASN,
12324353,AGROPHOS,
16620536,CHALET,
13510160,ANUP,
13192671,XELPMOC,
13240168,CESCVENT,
15170029,SAGARDEEP,
,SPENCERS,
15110065,DALBHARAT,
11623376,NILASPACES,
,TREJHARA,
15130281,TECHNOE,
17027894,ADANIGAS,
14080119,AAVAS,
16680001,GRSE,
15560010,AIONJSW,
11600033,IRCON,
17020459,SIGIND,
,CREDITACC,
16490518,TCNSBRANDS,
14050596,HDFCAMC,
10610049,VARROC,
14060044,HBSL,
16690082,RITES,
12070173,FINEORG,
15210705,GAYAHWS,
10780012,TALWGYM,
15130762,ADANIGREEN,
12541558,SOLARA,
14094914,INDOSTAR,
14580004,BOROSIL,
15580141,HITECH,
13150256,ORIENTELEC,
17151540,CHEMFAB,
16620202,LEMONTREE,
14040001.03,ISEC,
14010227,CENTRUM,
15520047,MIDHANI,
10670192,SANDHAR,
11623372,KARDA,
13510030,HAL,
14030287,BANDHANBNK,
14060001.03,SUNDARMHLD,
,HGINFRA,
13510006,GMMPFAUDLR,
16550441,ASTERDM,
16490756,SHIVAMILLS,
12010007,GALAXYSURF,
10760029,PRAXIS,
